==========================================================================================
Bundle: models/bundle_elite_v56.joblib  (version: v1.0)
  106 full features, 64 split features
==========================================================================================
        p90_swim_gap_leader       1.38%
       min_swim_gap_sec_24m       1.36%
       std_swim_gap_sec_24m       1.35%
     ema_swim_behind_sec_12       1.35%
        avg_swim_gap_leader       1.25%
      ema_swim_behind_sec_5       1.18%
           std_bike_sec_24m       1.16%
       ema_swim_split_pct_5       1.07%
            std_run_sec_24m       1.07%
             bike_pack_rate       1.05%
              form_momentum       1.05%
             n_swim_results       1.05%
      ema_swim_split_pct_12       1.00%
                 form_trend       0.94%
       ema_finish_pct_tier2       0.94%
      ema_finish_pct_tier34       0.94%

--- sprint_t2  (top 40) ---
                    feature sprint_t2
     field_depth_top10_mean    30.48%
       days_since_last_race     4.97%
               ema_t1_sec_5     2.58%
             ema_bike_sec_5     2.22%
          ema_t2_rank_pct_5     2.17%
               ema_t2_sec_5     2.15%
              ema_run_sec_5     2.01%
            ema_total_sec_5     1.81%
           std_t1t2_sec_24m     1.79%
     seed_total_gap_to_best     1.72%
        avg_bike_gap_leader     1.60%
                    wetsuit     1.56%
            swim_form_trend     1.56%
             ema_t1t2_sec_5     1.54%
          ema_t1_rank_pct_5     1.52%
             ema_swim_sec_5     1.52%
ema_bike_to_t2_pos_change_5     1.49%
           std_swim_sec_24m     1.45%
       ema_bike_split_pct_5     1.43%
        p90_swim_gap_leader     1.40%
ema_swim_to_t1_pos_change_5     1.38%
        ema_run_split_pct_5     1.35%
           std_bike_sec_24m     1.33%
          std_total_sec_24m     1.31%
           ema_perf_ratio_5     1.29%
      ema_swim_split_pct_12     1.22%
       std_swim_gap_sec_24m     1.22%
       ema_swim_split_pct_5     1.18%
      ema_swim_behind_sec_5     1.17%
            n_races_at_tier     1.17%
            std_run_sec_24m     1.17%
                 form_trend     1.08%
             bike_pack_rate     1.02%
       min_swim_gap_sec_24m     0.99%
      ema_finish_pct_tier34     0.97%
           std_bike_pct_24m     0.93%
              form_momentum     0.90%
            freshness_curve     0.86%
          athlete_t1t2_rate     0.83%
      ema_finish_pct_sprint     0.83%

--- sprint_run  (top 40) ---
                    feature sprint_run
     field_depth_top10_mean     12.86%
              ema_run_sec_5      4.98%
       days_since_last_race      3.43%
             ema_swim_sec_5      3.31%
        ema_run_split_pct_5      2.90%
            ema_total_sec_5      2.71%
        avg_bike_gap_leader      2.70%
               ema_t2_sec_5      2.47%
             ema_bike_sec_5      2.34%
       ema_bike_split_pct_5      2.28%
          ema_t1_rank_pct_5      2.17%
          ema_t2_rank_pct_5      2.12%
      ema_swim_behind_sec_5      1.93%
           ema_perf_ratio_5      1.89%
               ema_t1_sec_5      1.83%
ema_swim_to_t1_pos_change_5      1.83%
ema_bike_to_t2_pos_change_5      1.82%
            std_run_sec_24m      1.82%
